# sprite                offset  bytes  διαστάσεις     μορφή      κατηγορία
# ----------------------------------------------------------------------------
# domes_s               #0000      -                            (ομάδα)
  slot_s_3_driller      #3490     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_3_engineer     #34A0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_4_empty        #34B0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_4_colonist     #34C0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_4_carrier      #34D0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_4_driller      #34E0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_4_engineer     #34F0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_5_empty        #3500     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_5_colonist     #3510     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_5_carrier      #3520     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_5_driller      #3530     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_5_engineer     #3540     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_6_empty        #3550     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_6_colonist     #3560     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_6_carrier      #3570     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_6_driller      #3580     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_6_engineer     #3590     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_7_empty        #35A0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_7_colonist     #35B0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_7_carrier      #35C0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_7_driller      #35D0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_s_7_engineer     #35E0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_0_empty        #35F0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_0_colonist     #3600     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_0_carrier      #3610     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_0_driller      #3620     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_0_engineer     #3630     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_1_empty        #3640     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_1_colonist     #3650     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_1_carrier      #3660     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_1_driller      #3670     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_1_engineer     #3680     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_2_empty        #3690     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_2_colonist     #36A0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_2_carrier      #36B0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_2_driller      #36C0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_2_engineer     #36D0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_3_empty        #36E0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_3_colonist     #36F0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_3_carrier      #3700     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_3_driller      #3710     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_3_engineer     #3720     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_4_empty        #3730     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_4_colonist     #3740     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_4_carrier      #3750     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_4_driller      #3760     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_4_engineer     #3770     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_5_empty        #3780     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_5_colonist     #3790     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_5_carrier      #37A0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_5_driller      #37B0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_5_engineer     #37C0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_6_empty        #37D0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_6_colonist     #37E0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_6_carrier      #37F0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_6_driller      #3800     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_6_engineer     #3810     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_7_empty        #3820     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_7_colonist     #3830     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_7_carrier      #3840     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_7_driller      #3850     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_m_7_engineer     #3860     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_0_empty        #3870     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_0_colonist     #3880     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_0_carrier      #3890     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_0_driller      #38A0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_0_engineer     #38B0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_1_empty        #38C0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_1_colonist     #38D0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_1_carrier      #38E0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_1_driller      #38F0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_1_engineer     #3900     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_2_empty        #3910     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_2_colonist     #3920     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_2_carrier      #3930     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_2_driller      #3940     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_2_engineer     #3950     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_3_empty        #3960     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_3_colonist     #3970     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_3_carrier      #3980     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_3_driller      #3990     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_3_engineer     #39A0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_4_empty        #39B0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_4_colonist     #39C0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_4_carrier      #39D0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_4_driller      #39E0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_4_engineer     #39F0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_5_empty        #3A00     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_5_colonist     #3A10     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_5_carrier      #3A20     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_5_driller      #3A30     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_5_engineer     #3A40     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_6_empty        #3A50     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_6_colonist     #3A60     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_6_carrier      #3A70     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_6_driller      #3A80     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_6_engineer     #3A90     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_7_empty        #3AA0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_7_colonist     #3AB0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_7_carrier      #3AC0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_7_driller      #3AD0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  slot_l_7_engineer     #3AE0     16  4x8 px         αδιαφανές  θέσεις διαδρόμου
  corr_slots            #3AF0     48                            πίνακες δωματίου
  corr_fill             #3B20      8                            πίνακες δωματίου
# machines              #3B28      -                            (ομάδα)
  mach_oxygen           #3B28    132  12x22 px       αδιαφανές  μηχανήματα
  mach_iron             #3BAC    132  12x22 px       αδιαφανές  μηχανήματα
  mach_bioplastic       #3C30    132  12x22 px       αδιαφανές  μηχανήματα
  mach_weapons          #3CB4    132  12x22 px       αδιαφανές  μηχανήματα
  mach_processors       #3D38    132  12x22 px       αδιαφανές  μηχανήματα
  mach_robots           #3DBC    132  12x22 px       αδιαφανές  μηχανήματα
  mach_food             #3E40    132  12x22 px       αδιαφανές  μηχανήματα
  mach_spares           #3EC4    132  12x22 px       αδιαφανές  μηχανήματα
  mach_medical          #3F48    132  12x22 px       αδιαφανές  μηχανήματα
  mach_vitromeat        #3FCC    132  12x22 px       αδιαφανές  μηχανήματα
# plants                #4050      -                            (ομάδα)
  plant_peas            #4050    132  12x22 px       αδιαφανές  φυτά
  plant_rice            #40D4    132  12x22 px       αδιαφανές  φυτά
  plant_potatoes        #4158    132  12x22 px       αδιαφανές  φυτά
  plant_wheat           #41DC    132  12x22 px       αδιαφανές  φυτά
  plant_maize           #4260    132  12x22 px       αδιαφανές  φυτά
  plant_tomatoes        #42E4    132  12x22 px       αδιαφανές  φυτά
  plant_lettuce         #4368    132  12x22 px       αδιαφανές  φυτά
  plant_onions          #43EC    132  12x22 px       αδιαφανές  φυτά
  plant_radishes        #4470    132  12x22 px       αδιαφανές  φυτά
  plant_mushrooms       #44F4    132  12x22 px       αδιαφανές  φυτά
  plant_medicinal       #4578    132  12x22 px       αδιαφανές  φυτά
  plant_tree            #45FC    132  12x22 px       αδιαφανές  φυτά
  plant_class           #4680     12                            πίνακες δωματίου
# terrain               #468C      -                            (ομάδα)
  tile_ground_0         #468C     64  8x16 px        αδιαφανές  έδαφος
  tile_ground_1         #46CC     64  8x16 px        αδιαφανές  έδαφος
  tile_ground_2         #470C     64  8x16 px        αδιαφανές  έδαφος
  tile_ground_3         #474C     64  8x16 px        αδιαφανές  έδαφος
  tile_dust_0           #478C     64  8x16 px        αδιαφανές  έδαφος
  tile_dust_1           #47CC     64  8x16 px        αδιαφανές  έδαφος
  tile_dust_2           #480C     64  8x16 px        αδιαφανές  έδαφος
  tile_dust_3           #484C     64  8x16 px        αδιαφανές  έδαφος
  tile_rock_0           #488C     64  8x16 px        αδιαφανές  έδαφος
  tile_rock_1           #48CC     64  8x16 px        αδιαφανές  έδαφος
  tile_rock_2           #490C     64  8x16 px        αδιαφανές  έδαφος
  tile_rock_3           #494C     64  8x16 px        αδιαφανές  έδαφος
  tile_mountain_0       #498C     64  8x16 px        αδιαφανές  έδαφος
  tile_mountain_1       #49CC     64  8x16 px        αδιαφανές  έδαφος
  tile_mountain_2       #4A0C     64  8x16 px        αδιαφανές  έδαφος
  tile_mountain_3       #4A4C     64  8x16 px        αδιαφανές  έδαφος
  tile_mountain_4       #4A8C     64  8x16 px        αδιαφανές  έδαφος
  tile_mountain_5       #4ACC     64  8x16 px        αδιαφανές  έδαφος
  tile_mountain_6       #4B0C     64  8x16 px        αδιαφανές  έδαφος
  tile_mountain_7       #4B4C     64  8x16 px        αδιαφανές  έδαφος
  tile_mountain_8       #4B8C     64  8x16 px        αδιαφανές  έδαφος
  tile_mountain_9       #4BCC     64  8x16 px        αδιαφανές  έδαφος
  tile_mountain_10      #4C0C     64  8x16 px        αδιαφανές  έδαφος
  tile_mountain_11      #4C4C     64  8x16 px        αδιαφανές  έδαφος
  tile_mountain_12      #4C8C     64  8x16 px        αδιαφανές  έδαφος
  tile_mountain_13      #4CCC     64  8x16 px        αδιαφανές  έδαφος
  tile_mountain_14      #4D0C     64  8x16 px        αδιαφανές  έδαφος
  tile_mountain_15      #4D4C     64  8x16 px        αδιαφανές  έδαφος
  tile_water_0          #4D8C     64  8x16 px        αδιαφανές  έδαφος
  tile_water_1          #4DCC     64  8x16 px        αδιαφανές  έδαφος
  tile_water_2          #4E0C     64  8x16 px        αδιαφανές  έδαφος
  tile_water_3          #4E4C     64  8x16 px        αδιαφανές  έδαφος
  tile_water_4          #4E8C     64  8x16 px        αδιαφανές  έδαφος
  tile_water_5          #4ECC     64  8x16 px        αδιαφανές  έδαφος
  tile_water_6          #4F0C     64  8x16 px        αδιαφανές  έδαφος
  tile_water_7          #4F4C     64  8x16 px        αδιαφανές  έδαφος
  tile_water_8          #4F8C     64  8x16 px        αδιαφανές  έδαφος
  tile_water_9          #4FCC     64  8x16 px        αδιαφανές  έδαφος
  tile_water_10         #500C     64  8x16 px        αδιαφανές  έδαφος
  tile_water_11         #504C     64  8x16 px        αδιαφανές  έδαφος
  tile_water_12         #508C     64  8x16 px        αδιαφανές  έδαφος
  tile_water_13         #50CC     64  8x16 px        αδιαφανές  έδαφος
  tile_water_14         #510C     64  8x16 px        αδιαφανές  έδαφος
  tile_water_15         #514C     64  8x16 px        αδιαφανές  έδαφος
  tile_deepwater_0      #518C     64  8x16 px        αδιαφανές  έδαφος
  tile_deepwater_1      #51CC     64  8x16 px        αδιαφανές  έδαφος
  tile_deepwater_2      #520C     64  8x16 px        αδιαφανές  έδαφος
  tile_deepwater_3      #524C     64  8x16 px        αδιαφανές  έδαφος
  tile_crater_0         #528C     64  8x16 px        αδιαφανές  έδαφος
  tile_crater_1         #52CC     64  8x16 px        αδιαφανές  έδαφος
  tile_foundation_0     #530C     64  8x16 px        αδιαφανές  έδαφος
  tile_foundation_1     #534C     64  8x16 px        αδιαφανές  έδαφος
  ore_overlay_0         #538C    128  8x16 px        mask+data  έδαφος
  ore_overlay_1         #540C    128  8x16 px        mask+data  έδαφος
  tile_base             #548C     16                            πίνακες εδάφους
  tile_variants         #549C      8                            πίνακες εδάφους
  planet_pens           #54A4     16                            πίνακες εδάφους
# structures            #54B4      -                            (ομάδα)
  solar_s               #54B4    128  8x16 px        mask+data  εξωτερικές δομές
  solar_m               #5534    512  16x32 px       mask+data  εξωτερικές δομές
  solar_l               #5734   1152  24x48 px       mask+data  εξωτερικές δομές
  solar_xl              #5BB4   2048  32x64 px       mask+data  εξωτερικές δομές
  turbine_s             #63B4    128  8x16 px        mask+data  εξωτερικές δομές
  turbine_m             #6434    512  16x32 px       mask+data  εξωτερικές δομές
  turbine_l             #6634   1152  24x48 px       mask+data  εξωτερικές δομές
  collector_s           #6AB4    128  8x16 px        mask+data  εξωτερικές δομές
  collector_m           #6B34    512  16x32 px       mask+data  εξωτερικές δομές
  collector_l           #6D34   1152  24x48 px       mask+data  εξωτερικές δομές
  extractor_s           #71B4    128  8x16 px        mask+data  εξωτερικές δομές
  extractor_m           #7234    512  16x32 px       mask+data  εξωτερικές δομές
  extractor_l           #7434   1152  24x48 px       mask+data  εξωτερικές δομές
  mine                  #78B4   2048  32x64 px       mask+data  εξωτερικές δομές
  airlock               #80B4    512  16x32 px       mask+data  εξωτερικές δομές
  struct_dims           #82B4     48                            πίνακες δομών
  machine_count         #82E4      3                            πίνακες δωματίου
  machine_slots         #82E7     48                            πίνακες δωματίου
  machine_rules         #8317     10                            πίνακες δωματίου
  interior_ofs          #8321      6                            πίνακες δωματίου
  palette_fw            #8327     16                            παλέτα
  sprites_pad           #8337    201                            στοίχιση
  flip_mode0            #8400    256                            πίνακας καθρεφτισμού

  ΣΥΝΟΛΟ                       34048
